Type,Rouge,red
Type,Blanc,white
Type,moelleux,sweet
Type,effervescent,sparkling
Region,Californie,California
Region,Galice,Galicia
Region,Catalogne,Catalonia
Region,Murcie,Levante
Region,Rioja,Northern Spain
Region,Navarre,Northern Spain
Region,Castille - León,Central Spain
Region,Bourgogne,Burgundy
Region,Val de Loire et Centre,Loire Valley
Region,Vallee du Rhone,Rhone Valley
Region,Lombardie,Lombardy
Region,Vénétie,Veneto
Region,Toscane,Tuscany
Region,Piémont,Piedmont
Region,Sicile,Sicily & Sardinia
Region,Sardaigne,Sicily & Sardinia
Region,Trentin - Haut Adige,Northeastern Italy
Region,Pouilles,Southern Italy
Region,Basilicate,Southern Italy
Region,Ombrie,Central Italy
Region,Marches,Central Italy
Region,Etat de Washington,Washington